title,description,job_levels,languages,duration_minutes,test_type,url,remote_support,adaptive_support
Manufacturing Skilled Maintenance Worker,"the manufacturing skilled maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. this solution measures a candidates mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. this solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. the manufacturing skilled maintenance solution is designed for selection to job titles, such as: industrial machinery mechanic, automotive service technician, small engine mechanic, mobile equipment service technician, and diesel service technician.",entry-level,english (usa),45,"ability, behavioral",https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,No
.NET MVC (New),"multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.","mid-professional, professional individual contributor",english (usa),17,k,https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No
General Entry Level - All Industries 7.1(Americas),"our general entry level all industries 7.1 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector.",entry-level,"portuguese (brazil), french (canada), english (usa), latin american spanish",19,behavioral,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No
Claims/Operations Supervisor Solution,"the claims/operations supervisor solution is for entry-level management positions that involve supervising hourly employees. sample tasks for this job include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, claims supervisor, operations supervisor, and customer service supervisor. multiple configurations of this solution are available.",manager,english (usa),48,"personality, skills, ability, behavioral",https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes
Healthcare Service Associate Solution,"the healthcare service associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. potential job titles that use this solution are: housekeepers, dietary aides, and guest services coordinator. there are multiple configurations and versions of this solution available.",entry-level,english (usa),37,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes
Installation and Repair Technician Solution,"the installation and repair technician solution is designed for use with entry-level field technician positions in the telecommunications industry. the solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. potential job titles that use this solution are: installer, service technician, and customer installation technician. there are multiple configurations of this solution available.",professional individual contributor,english (usa),49,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes
Service Supervisor Solution,"the service supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. front desk associate, concierge, guest service associate). individuals in these roles perform many of hte duties of the employees they supervise. sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: front desk manager, guest services supervisor, and front desk supervisor. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),48,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,Yes,Yes
Industrial - Semi-skilled 7.1 (Americas),"our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in americas norm.",entry-level,"english (usa), portuguese (brazil), french (canada)",24,behavioral,https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,No
Insurance Account Manager Solution,"the insurance account manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. potential job titles that use this solution are: account executive, account manager, and senior account manager. multiple configurations of this solution are available.",mid-professional,english (usa),48,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes
Server Solution,"the server solution is designed for entry-level positions in the hospitality industry. sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. the solution is focused on work ethic, customer focus and sales. potential job titles that use this solution are: server and waiter/waitress. multiple configurations of this solution are available.",entry-level,english (usa),40,"behavioral, ability, personality",https://www.shl.com/products/product-catalog/view/server-solution/,Yes,Yes
Proof Operator - Processing Specialist -Short Form,"the proof operator processing specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. potential job titles include: proof operator, bank operations processor, and operations specialist.",entry-level,english (usa),30,skills,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes,No
Guest Services Associate Solution,"the guest services associate solution is designed for entry to mid-level customer service positions in the hospitality industry. the solution is for highly customer service focused positions with few to no sales components. sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommendations to guests, arranging transportation for guests, and making reservations. potential job titles that use this solution are: concierge, guest services agent, club concierge, hotel concierge, front office manager and guest services associate. multiple configurations of this solution are available.",entry-level,english (usa),48,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes
Accounts Payable Simulation (New),simulated data entry test that measures the ability to process payables and vendor invoices.,"entry-level, graduate, mid-professional, professional individual contributor",english (usa),8,skills,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No
ADO.NET (New),"multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.","mid-professional, professional individual contributor",english (usa),10,k,https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No
Entry Level Cashier 7.1 (International),"the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk.",entry-level,english (usa),18,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes,No
Industrial - Entry Level 7.1 (Americas),"our industrial entry level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. the solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. potential job titles that use this solution include: laborer, custodians, building and grounds maintenance workers, handyman. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.",entry-level,"english (usa), french (canada), portuguese (brazil), latin american spanish",20,behavioral,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes,No
Bank Operations Supervisor - Short Form,"the bank operations supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. there are multiple configurations and versions of this solution available.","front line manager, manager, supervisor",english (usa),45,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes
Retail Consultant Solution,"the retail consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. potential job titles that use this solution are: sales consultant, sales representative, and retail sales associate. there are multiple configurations and versions of this solution available.",entry-level,english (usa),45,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,Yes,Yes
Telenurse Solution,"the telenurse solution is for positions in a healthcare environment that interact with patients over the telephone. sample tasks for this job include, but are not limited to: accurately understanding patients symptoms via the telephone, systematically working through patient symptoms to arrive at the correct diagnosis, and recalling facts from the call for documentation. potential job titles that use this solution are: telenurse, telephone nurse, or on call nurse. multiple configurations of this solution are available.",mid-professional,english (usa),68,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/telenurse-solution/,Yes,Yes
Apprentice 8.0 Job Focused Assessment,"the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions.","entry-level, general population, graduate","english international, german, french",20,"behavioral, personality",https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No
Entry Level Cashier 7.1 (Americas),"the entry level cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk.",entry-level,"french (canada), latin american spanish, english (usa), english international",18,"behavioral, personality, ability",https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Yes,No
Professional 7.0 Solution,"our professional 7.0 solution is designed for all non-managerial professional individual contributor positions. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. report language availability: english (usa), latin american spanish.","mid-professional, professional individual contributor","english (usa), english international, french (canada), latin american spanish",33,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,Yes,No
Workplace Safety - Individual 7.1 (Americas),"our workplace safety - individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. the solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.",entry-level,"portuguese (brazil), english (usa), french (canada), latin american spanish",16,behavioral,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Yes,No
Sales Engineer Solution,"the sales engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. the solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services. potential job titles that use this solution are: sales engineer, senior technical consultant, and technical sales lead. there are multiple configurations of this solution available.",professional individual contributor,english (usa),61,"ability, behavioral, k, personality, skills",https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,Yes,Yes
Insurance Director Solution,"the insurance director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. potential job titles that use this solution are: regional managers, associate directors, and managing directors. multiple configurations of this solution are available.","director, front line manager, manager, supervisor",english (usa),49,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/insurance-director-solution/,Yes,Yes
Home Health Aide Solution,"the home health aide solution is for entry-level positions in an in-home or group home environment. sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. potential job titles that use this solution are: personal care aide, home health aide, residential assistant, and certified nursing assistant. there are multiple configurations and versions of this solution available.",entry-level,english (usa),41,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,Yes,Yes
Retail Sales Associate Solution,"the retail sales associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, retail sales associate, and sales clerk. there are multiple configurations and versions of this solution available.",entry-level,english (usa),29,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,Yes,Yes
Global Skills Development Report,"this report is designed to be given to individuals who have completed the global skills assessment (gsa). with coverage across the great 8 domains, this measure of self-reported behaviors offers a complete overview of their current skills. participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","director, entry-level, executive, general population, graduate, manager, mid-professional, front line manager, supervisor",,0,"ability, e, behavioral, cognitive, d, personality",https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No
Front Desk Associate Solution,"the front desk associate solution is designed for entry-level customer service positions in the hospitality industry. the solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. potential job titles that use this solution are: front desk clerk, guest desk attendant, guest check-in associate, or front office agent. multiple configurations of this solution are available.",entry-level,english (usa),50,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes
Industrial Professional and Skilled 7.1 (Americas),"our industrial professional and skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.",entry-level,"portuguese (brazil), english (usa), french (canada)",49,"ability, behavioral",https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,No
Supervisor 7.1 (Americas),"our supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), canadian french, brazilian portuguese. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.","front line manager, supervisor","portuguese (brazil), french (canada), english (usa)",29,"behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes,No
Bilingual Spanish Reservation Agent Solution,"the bilingual reservation agent solution is designed for customer centered entry-level positions within the hospitality industry. sample tasks may include making, updating, or canceling hotel reservations made in english or spanish; listening to customers speak spanish and entering information into a computer in english; providing information on the hotel and the services offered. potential job titles that use this solution are: bilingual reservation agent, customer service representative and reservationist. multiple configurations of this solution are available.",entry-level,"english (usa), latin american spanish",43,"behavioral, personality, skills, ability",https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes
Contact Center Customer Service 8.0,the customer service 8.0 jfa is designed for entry-level positions in a contact center environment where the main focus is customer service.,entry-level,"english (usa), german, portuguese (brazil), english international, latin american spanish, french (canada), french",31,"skills, behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes,No
Manager + 7.0 Solution,"our manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa).","front line manager, manager","english (usa), english international",53,"ability, behavioral, cognitive",https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes
Graduate 7.1 Job Focused Assessment,the graduate 7.1 job focused assessment is designed for professional level positions appropriate for recent college graduates.,graduate,"chinese simplified, english (usa), french, german, english international, italian, japanese, latin american spanish, polish, russian, swedish, dutch, portuguese (brazil)",19,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No
Manager 7.1 (International),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), danish, finnish, canadian french, italian, norwegian, french, german, english international,. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international.","director, executive, front line manager, manager","english (usa), english international, french, german, portuguese (brazil), danish, finnish, italian, norwegian, swedish, dutch, french (canada)",40,"behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,Yes,No
Support Supervisor Solution,"the support supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. janitors, laundry workers, grounds crew). individuals in these roles may perform many of the duties of the employees they supervise. sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. potential job titles that use this solution are: head custodian, maintenance supervisor, buildings and grounds supervisor, facilities manager, housekeeping supervisor, building and grounds director and housekeepig director. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),39,"ability, personality, skills, behavioral",https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,Yes,Yes
Phone Banker - Short Form,"this solution is for entry to mid-level financial institution positions. candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","entry-level, mid-professional",english (usa),40,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,Yes,No
Restaurant Supervisor Solution,"the restaurant supervisor solution is designed for management level positions in the hospitality industry. sample tasks include serving as a staff resource, setting schedules and monitoring daily operations. the solution is focused on solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: restaurant supervisor and restaurant staff supervisor. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),53,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,Yes,Yes
Professional + 7.1 (Americas),"our professional 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","general population, mid-professional, professional individual contributor",latin american spanish,56,"behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,Yes,Yes
Senior Insurance Agent Solution,"the senior insurance agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. potential job titles that use this solution are: insurance senior sales professional, senior producer, insurance sales agent, and insurance agent. multiple configurations of this solution are available.",professional individual contributor,english (usa),44,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,Yes,No
Workplace Safety - Individual 7.0 Solution,"our workplace safety - individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. the solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining. report language availability: english (usa), latin american spanish.",entry-level,"german, english international, english (usa), italian, french, dutch, french (canada), latin american spanish, arabic",16,behavioral,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Yes,No
Accounts Payable (New),"multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","entry-level, graduate, mid-professional, professional individual contributor",english (usa),9,k,https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No
Accounts Receivable Simulation (New),simulated data entry test that measures the ability to process receivables and invoices.,"entry-level, graduate, mid-professional, professional individual contributor",english (usa),8,skills,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No
Healthcare Call Center Agent Solution,"the healthcare call center agent solution is for entry-level positions in an inbound healthcare call center environment. sample tasks for this job include, but are not limited to: taking and receiving information from patients over the phone, working between computer screens, and entering information into a computer. potential job titles that use this solution are: call center representative, receptionist, and switchboard operator. multiple configurations of this solution are available.",entry-level,english (usa),44,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes,Yes
Supervisor 7.0 Solution,"our supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), latin american spanish.",supervisor,"english international, english (usa), french (canada), latin american spanish",32,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,Yes,No
Bank Collections Agent - Short Form,"this solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. there are multiple configurations and versions of this solution available.",entry-level,english (usa),45,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No
Professional 7.1 (International),"our professional 7.1 solution is designed for all non-managerial professional individual contributor positions. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","professional individual contributor, mid-professional","english international, swedish, italian, finnish, dutch, french, english (usa), german, portuguese (brazil), latin american spanish, french (canada), danish, norwegian",33,"cognitive, behavioral",https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,Yes,No
